sales_id,date,buyer_id,product_id,quantity,unit_price,delivery_type,delivery_cost,total
1,2022-05-18 00:00:00.000000,981,6,2,25000,mail,1781.1110882915,51781.1110882915
2,2021-04-14 00:00:00.000000,1901,10,3,90000,rider,7544.40390822974,277544.40390823
3,2022-08-23 00:00:00.000000,592,1,3,34000,rider,5395.51972934515,107395.519729345
4,2020-08-06 00:00:00.000000,503,5,4,25000,pickup,6136.46042217474,106136.460422175
5,2021-02-23 00:00:00.000000,1813,8,3,75000,pickup,4979.99786446559,229979.997864466
6,2020-08-22 00:00:00.000000,1,7,1,30000,rider,4886.36238683907,34886.3623868391
7,2022-04-23 00:00:00.000000,1413,1,3,34000,rider,1608.67526328863,103608.675263289
8,2022-01-04 00:00:00.000000,95,10,1,90000,rider,4107.91359354415,94107.9135935441
9,2021-05-10 00:00:00.000000,1763,5,3,25000,pickup,5387.7148255746,80387.7148255746
10,2022-04-04 00:00:00.000000,783,9,1,80000,mail,7142.19573885997,87142.19573886
11,2020-07-28 00:00:00.000000,1986,1,2,34000,mail,4152.80833448115,72152.8083344812
12,2022-08-22 00:00:00.000000,1261,6,1,25000,mail,4565.56996491463,29565.5699649146
13,2021-03-30 00:00:00.000000,1526,9,2,80000,pickup,5153.94107608839,165153.941076088
14,2022-02-23 00:00:00.000000,620,6,1,25000,rider,7617.66760024829,32617.6676002483
15,2022-12-13 00:00:00.000000,375,7,1,30000,pickup,4224.27327103018,34224.2732710302
16,2022-06-28 00:00:00.000000,1706,8,1,75000,pickup,5985.27183867044,80985.2718386704
17,2022-10-11 00:00:00.000000,1364,4,1,50000,rider,3280.92882012698,53280.928820127
18,2020-11-11 00:00:00.000000,730,4,1,50000,pickup,6251.07473589037,56251.0747358904
19,2021-03-23 00:00:00.000000,684,5,2,25000,mail,5041.38701205307,55041.3870120531
20,2020-11-20 00:00:00.000000,804,3,1,15000,pickup,3642.95021297948,18642.9502129795
21,2020-02-25 00:00:00.000000,1392,10,4,90000,rider,8832.57615588069,368832.576155881
22,2022-10-17 00:00:00.000000,1446,5,1,25000,mail,7918.26771228248,32918.2677122825
23,2022-09-17 00:00:00.000000,1498,7,1,30000,rider,5756.48901920753,35756.4890192075
24,2020-08-02 00:00:00.000000,672,7,4,30000,rider,5200.30197735052,125200.301977351
25,2021-07-13 00:00:00.000000,1473,2,1,12000,pickup,2461.59776464451,14461.5977646445
26,2021-06-02 00:00:00.000000,450,6,2,25000,mail,3101.25953929422,53101.2595392942
27,2020-12-24 00:00:00.000000,41,4,2,50000,mail,8704.4300606376,108704.430060638
28,2020-12-19 00:00:00.000000,175,7,1,30000,rider,6008.42984056676,36008.4298405668
29,2020-06-12 00:00:00.000000,1512,5,3,25000,mail,4588.22510516127,79588.2251051613
30,2022-06-23 00:00:00.000000,1108,1,3,34000,mail,3724.95191742136,105724.951917421
31,2022-01-23 00:00:00.000000,254,7,4,30000,mail,4443.02332639971,124443.0233264
32,2020-02-29 00:00:00.000000,740,3,2,15000,pickup,3280.27706869054,33280.2770686905
33,2020-12-13 00:00:00.000000,185,8,1,75000,rider,3774.74779315428,78774.7477931543
34,2021-12-17 00:00:00.000000,154,1,1,34000,mail,5581.8342210305,39581.8342210305
35,2020-02-22 00:00:00.000000,306,9,4,80000,mail,8223.47803974126,328223.478039741
36,2020-07-17 00:00:00.000000,456,7,1,30000,rider,4185.29362849975,34185.2936284997
37,2021-01-08 00:00:00.000000,1405,8,1,75000,rider,4713.8737635928,79713.8737635928
38,2020-03-23 00:00:00.000000,551,4,1,50000,rider,5992.76481320549,55992.7648132055
39,2021-06-17 00:00:00.000000,862,10,2,90000,mail,6501.99829867403,186501.998298674
40,2021-01-03 00:00:00.000000,233,7,2,30000,pickup,5139.37556174909,65139.3755617491
41,2020-01-24 00:00:00.000000,1605,5,1,25000,mail,7838.58652756957,32838.5865275696
42,2020-07-01 00:00:00.000000,810,5,1,25000,pickup,4533.99535600425,29533.9953560043
43,2022-02-03 00:00:00.000000,1808,5,2,25000,pickup,1719.79718681619,51719.7971868162
44,2021-02-02 00:00:00.000000,1459,9,1,80000,pickup,2675.21730351918,82675.2173035192
45,2023-04-04 00:00:00.000000,1095,4,1,50000,pickup,4601.43359093263,54601.4335909326
46,2020-11-04 00:00:00.000000,1956,9,2,80000,pickup,1794.87262828093,161794.872628281
47,2022-02-21 00:00:00.000000,1999,2,1,12000,rider,8384.12397575169,20384.1239757517
48,2023-03-08 00:00:00.000000,862,1,1,34000,mail,3973.19274663022,37973.1927466302
49,2022-08-25 00:00:00.000000,1268,5,2,25000,pickup,7604.98744224724,57604.9874422472
50,2020-04-06 00:00:00.000000,1312,1,1,34000,pickup,6038.56092773192,40038.5609277319
