sales_id,date,buyer_id,product_id,quantity,unit_price,delivery_type,delivery_cost,total,avg_total
2,2021-04-14 00:00:00.000000,1901,10,3,90000,rider,7544.40390822974,277544.40390823,87171.8613002108
3,2022-08-23 00:00:00.000000,592,1,3,34000,rider,5395.51972934515,107395.519729345,87171.8613002108
4,2020-08-06 00:00:00.000000,503,5,4,25000,pickup,6136.46042217474,106136.460422175,87171.8613002108
5,2021-02-23 00:00:00.000000,1813,8,3,75000,pickup,4979.99786446559,229979.997864466,87171.8613002108
7,2022-04-23 00:00:00.000000,1413,1,3,34000,rider,1608.67526328863,103608.675263289,87171.8613002108
8,2022-01-04 00:00:00.000000,95,10,1,90000,rider,4107.91359354415,94107.9135935441,87171.8613002108
13,2021-03-30 00:00:00.000000,1526,9,2,80000,pickup,5153.94107608839,165153.941076088,87171.8613002108
21,2020-02-25 00:00:00.000000,1392,10,4,90000,rider,8832.57615588069,368832.576155881,87171.8613002108
24,2020-08-02 00:00:00.000000,672,7,4,30000,rider,5200.30197735052,125200.301977351,87171.8613002108
27,2020-12-24 00:00:00.000000,41,4,2,50000,mail,8704.4300606376,108704.430060638,87171.8613002108
30,2022-06-23 00:00:00.000000,1108,1,3,34000,mail,3724.95191742136,105724.951917421,87171.8613002108
31,2022-01-23 00:00:00.000000,254,7,4,30000,mail,4443.02332639971,124443.0233264,87171.8613002108
35,2020-02-22 00:00:00.000000,306,9,4,80000,mail,8223.47803974126,328223.478039741,87171.8613002108
39,2021-06-17 00:00:00.000000,862,10,2,90000,mail,6501.99829867403,186501.998298674,87171.8613002108
46,2020-11-04 00:00:00.000000,1956,9,2,80000,pickup,1794.87262828093,161794.872628281,87171.8613002108
53,2021-10-01 00:00:00.000000,149,9,3,80000,rider,6850.67153790972,246850.67153791,87171.8613002108
58,2020-01-14 00:00:00.000000,1420,10,1,90000,rider,8023.05528895726,98023.0552889573,87171.8613002108
60,2020-04-15 00:00:00.000000,220,10,4,90000,mail,2324.19723018272,362324.197230183,87171.8613002108
64,2021-12-01 00:00:00.000000,31,4,3,50000,mail,3406.50674532651,153406.506745327,87171.8613002108
65,2020-08-24 00:00:00.000000,325,10,3,90000,rider,1666.45292098924,271666.452920989,87171.8613002108
66,2023-04-08 00:00:00.000000,1662,9,4,80000,rider,8732.55900617418,328732.559006174,87171.8613002108
68,2020-01-09 00:00:00.000000,1645,9,2,80000,rider,7086.81477321579,167086.814773216,87171.8613002108
69,2020-11-04 00:00:00.000000,564,1,3,34000,rider,3225.56215275196,105225.562152752,87171.8613002108
70,2023-03-21 00:00:00.000000,830,10,2,90000,pickup,7720.81518276843,187720.815182768,87171.8613002108
73,2021-10-22 00:00:00.000000,563,10,2,90000,rider,4909.22135676593,184909.221356766,87171.8613002108
76,2020-02-29 00:00:00.000000,979,10,1,90000,pickup,8961.18230987123,98961.1823098712,87171.8613002108
77,2022-09-28 00:00:00.000000,806,7,3,30000,rider,6244.05499102331,96244.0549910233,87171.8613002108
85,2022-10-16 00:00:00.000000,1543,8,3,75000,rider,7851.45854115613,232851.458541156,87171.8613002108
86,2020-08-30 00:00:00.000000,1989,8,3,75000,rider,6257.63982838137,231257.639828381,87171.8613002108
92,2021-05-01 00:00:00.000000,498,4,2,50000,mail,2930.72577855286,102930.725778553,87171.8613002108
94,2020-05-12 00:00:00.000000,1467,10,1,90000,mail,4110.19408425166,94110.1940842517,87171.8613002108
102,2022-04-17 00:00:00.000000,1800,1,4,34000,mail,5921.26292505924,141921.262925059,87171.8613002108
103,2020-02-11 00:00:00.000000,830,4,4,50000,pickup,4931.12426185273,204931.124261853,87171.8613002108
105,2021-10-14 00:00:00.000000,1034,10,2,90000,rider,5582.38991949468,185582.389919495,87171.8613002108
106,2021-08-24 00:00:00.000000,757,1,4,34000,mail,7774.73884213716,143774.738842137,87171.8613002108
110,2020-05-19 00:00:00.000000,615,10,2,90000,mail,8109.04166653567,188109.041666536,87171.8613002108
114,2020-10-15 00:00:00.000000,954,9,2,80000,rider,8364.18642214204,168364.186422142,87171.8613002108
117,2021-10-04 00:00:00.000000,1974,10,1,90000,rider,6048.8525544176,96048.8525544176,87171.8613002108
118,2020-12-18 00:00:00.000000,1718,9,2,80000,rider,4627.54443358985,164627.54443359,87171.8613002108
127,2023-04-08 00:00:00.000000,710,8,2,75000,rider,1760.49245933699,151760.492459337,87171.8613002108
128,2021-02-28 00:00:00.000000,1881,9,4,80000,rider,2457.68574570265,322457.685745703,87171.8613002108
133,2022-11-15 00:00:00.000000,1388,8,2,75000,rider,6232.14253562357,156232.142535624,87171.8613002108
134,2020-08-11 00:00:00.000000,1892,8,2,75000,rider,5050.7262986647,155050.726298665,87171.8613002108
135,2022-11-07 00:00:00.000000,83,4,4,50000,rider,8137.50281204423,208137.502812044,87171.8613002108
139,2020-08-19 00:00:00.000000,1209,10,1,90000,mail,3405.5912175494,93405.5912175494,87171.8613002108
146,2020-12-19 00:00:00.000000,1946,8,2,75000,pickup,8841.43032599036,158841.43032599,87171.8613002108
148,2021-01-23 00:00:00.000000,932,9,3,80000,rider,4942.14609741523,244942.146097415,87171.8613002108
154,2022-08-24 00:00:00.000000,282,10,2,90000,rider,7634.56877411515,187634.568774115,87171.8613002108
156,2021-09-17 00:00:00.000000,931,7,3,30000,pickup,8737.38572655797,98737.385726558,87171.8613002108
159,2022-06-08 00:00:00.000000,749,10,1,90000,rider,6572.84524261659,96572.8452426166,87171.8613002108
167,2021-07-17 00:00:00.000000,1450,4,4,50000,mail,5209.06858913439,205209.068589134,87171.8613002108
170,2021-09-05 00:00:00.000000,428,10,1,90000,pickup,2044.46951903729,92044.4695190373,87171.8613002108
172,2021-08-19 00:00:00.000000,943,9,1,80000,mail,7338.61857903357,87338.6185790336,87171.8613002108
174,2022-06-28 00:00:00.000000,1921,10,4,90000,mail,3030.73139097953,363030.73139098,87171.8613002108
176,2020-05-11 00:00:00.000000,294,4,3,50000,pickup,5081.82941869169,155081.829418692,87171.8613002108
180,2020-07-27 00:00:00.000000,440,4,2,50000,mail,8141.52056936205,108141.520569362,87171.8613002108
182,2021-01-10 00:00:00.000000,1018,10,1,90000,mail,2386.16074997974,92386.1607499797,87171.8613002108
184,2020-12-13 00:00:00.000000,1014,10,3,90000,pickup,4569.74759930453,274569.747599305,87171.8613002108
185,2020-09-11 00:00:00.000000,1142,9,1,80000,pickup,7959.89533683179,87959.8953368318,87171.8613002108
191,2022-11-11 00:00:00.000000,1997,4,4,50000,rider,1675.66664253665,201675.666642537,87171.8613002108
192,2022-02-07 00:00:00.000000,924,1,3,34000,mail,1512.20274686328,103512.202746863,87171.8613002108
193,2020-12-15 00:00:00.000000,779,4,2,50000,mail,1590.08775360971,101590.08775361,87171.8613002108
196,2022-05-03 00:00:00.000000,822,8,3,75000,pickup,1983.01174248881,226983.011742489,87171.8613002108
207,2022-10-27 00:00:00.000000,744,8,2,75000,rider,7527.59044284759,157527.590442848,87171.8613002108
209,2020-03-18 00:00:00.000000,358,8,4,75000,mail,4432.77199211697,304432.771992117,87171.8613002108
211,2021-01-05 00:00:00.000000,285,10,2,90000,mail,2361.7019827624,182361.701982762,87171.8613002108
212,2022-03-18 00:00:00.000000,1718,9,3,80000,mail,5419.92117163375,245419.921171634,87171.8613002108
213,2022-08-11 00:00:00.000000,1498,10,1,90000,pickup,7032.44080054839,97032.4408005484,87171.8613002108
215,2020-06-27 00:00:00.000000,281,6,4,25000,pickup,8917.43488128454,108917.434881285,87171.8613002108
218,2022-02-27 00:00:00.000000,1657,4,3,50000,pickup,8645.06169777355,158645.061697774,87171.8613002108
222,2022-06-01 00:00:00.000000,698,10,1,90000,mail,2752.60887235128,92752.6088723513,87171.8613002108
225,2021-08-26 00:00:00.000000,1315,4,2,50000,mail,5933.78310841335,105933.783108413,87171.8613002108
226,2023-01-13 00:00:00.000000,1041,4,2,50000,pickup,7471.40584871338,107471.405848713,87171.8613002108
227,2022-10-11 00:00:00.000000,1574,10,3,90000,rider,7810.30514696541,277810.305146965,87171.8613002108
237,2022-10-06 00:00:00.000000,966,10,3,90000,rider,8886.55539171901,278886.555391719,87171.8613002108
238,2021-04-18 00:00:00.000000,1954,10,1,90000,pickup,6302.01243833115,96302.0124383312,87171.8613002108
240,2022-11-15 00:00:00.000000,1756,9,1,80000,mail,7719.92855646762,87719.9285564676,87171.8613002108
243,2020-08-21 00:00:00.000000,1551,7,4,30000,rider,4956.29428658351,124956.294286584,87171.8613002108
245,2021-08-13 00:00:00.000000,303,10,1,90000,rider,8262.29515997669,98262.2951599767,87171.8613002108
254,2020-04-21 00:00:00.000000,1546,10,2,90000,mail,2363.77017881511,182363.770178815,87171.8613002108
255,2021-09-09 00:00:00.000000,1686,4,2,50000,rider,4675.55741031045,104675.55741031,87171.8613002108
256,2022-08-29 00:00:00.000000,584,7,3,30000,mail,2614.63822462258,92614.6382246226,87171.8613002108
262,2021-10-04 00:00:00.000000,1071,4,2,50000,mail,5960.85698357252,105960.856983573,87171.8613002108
265,2021-02-11 00:00:00.000000,487,4,4,50000,mail,5365.36589656714,205365.365896567,87171.8613002108
273,2021-02-08 00:00:00.000000,1951,9,2,80000,mail,8876.08707450506,168876.087074505,87171.8613002108
274,2022-04-06 00:00:00.000000,242,8,2,75000,pickup,8172.84622874951,158172.84622875,87171.8613002108
276,2022-08-23 00:00:00.000000,1753,10,1,90000,rider,4945.62498751629,94945.6249875163,87171.8613002108
278,2021-10-20 00:00:00.000000,1809,4,3,50000,rider,6673.62331856247,156673.623318563,87171.8613002108
280,2021-10-24 00:00:00.000000,1026,1,3,34000,mail,8791.47671449323,110791.476714493,87171.8613002108
284,2020-08-31 00:00:00.000000,144,9,2,80000,rider,8857.91676472193,168857.916764722,87171.8613002108
285,2020-03-13 00:00:00.000000,1384,8,2,75000,rider,4718.9417262538,154718.941726254,87171.8613002108
286,2020-09-24 00:00:00.000000,1847,8,2,75000,pickup,8624.58924987906,158624.589249879,87171.8613002108
287,2021-01-16 00:00:00.000000,1835,10,4,90000,pickup,8494.33443435934,368494.334434359,87171.8613002108
288,2021-05-02 00:00:00.000000,1967,10,1,90000,mail,6026.45429034534,96026.4542903454,87171.8613002108
290,2021-10-26 00:00:00.000000,1310,1,4,34000,rider,7826.49226282314,143826.492262823,87171.8613002108
291,2020-10-14 00:00:00.000000,210,5,4,25000,rider,7753.4990499742,107753.499049974,87171.8613002108
295,2022-05-21 00:00:00.000000,1508,4,4,50000,mail,1799.29674704065,201799.296747041,87171.8613002108
302,2022-02-16 00:00:00.000000,351,4,2,50000,mail,5830.89348366886,105830.893483669,87171.8613002108
303,2020-12-26 00:00:00.000000,498,10,1,90000,mail,1556.50917387197,91556.509173872,87171.8613002108
308,2022-01-21 00:00:00.000000,1626,9,1,80000,rider,8995.07461585147,88995.0746158515,87171.8613002108
309,2022-12-17 00:00:00.000000,1285,1,4,34000,mail,6223.0654670427,142223.065467043,87171.8613002108
310,2022-06-03 00:00:00.000000,1998,10,4,90000,pickup,5933.23784119377,365933.237841194,87171.8613002108
317,2021-01-16 00:00:00.000000,1779,8,4,75000,pickup,7381.57434007641,307381.574340076,87171.8613002108
318,2021-05-24 00:00:00.000000,1084,9,3,80000,rider,7985.92191860069,247985.921918601,87171.8613002108
